ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
963;merge;M0;true
964;merge;M0;true
965;merge;M0;true
966;merge;M0;true
967;merge;M0;true
968;merge;M0;true
969;merge;M0;true
970;merge;M3;false
971;merge;M1;true
972;merge;M0;true
973;merge;M1;true
974;merge;M0;true
975;merge;M0;true
976;merge;M3;false
977;merge;M0;true
978;merge;M0;true
979;merge;M0;true
980;merge;M0;true
981;merge;M0;true
982;merge;M0;true
983;merge;M1;true
984;merge;M3;false
985;merge;M0;true
986;merge;M0;true
987;merge;M0;true
988;merge;M0;true
989;merge;M2;false
990;merge;M0;true
991;merge;M2;false
992;merge;M1;true
993;merge;M3;false
994;merge;M0;true
995;merge;M0;true
996;merge;M3;false
997;merge;M0;true
998;merge;M0;true
999;merge;M3;false
1000;merge;M0;true
